0, 10, 2, 1, 1, 1, 3, 1, 
1, 25, 4, 3, 2, 2, 4, 3, 
2, 50, 19, 9, 6, 7, 9, 5, 
3, 75, 47, 24, 37, 11, 35, 9, 
4, 100, 63, 28, 31, 18, 22, 12, 
5, 150, 168, 79, 62, 30, 35, 21, 
6, 250, 475, 139, 135, 48, 57, 36, 
7, 500, 1428, 504, 490, 109, 140, 79, 
8, 750, 3104, 1088, 1332, 233, 194, 125, 
9, 1000, 6129, 1935, 2124, 256, 262, 167, 
10, 2500, 41086, 11591, 12675, 771, 688, 581, 
11, 5000, 157872, 45075, 50370, 1820, 1435, 1610, 
12, 7500, 375300, 101726, 113737, 2887, 2204, 3149, 
13, 10000, 686422, 181603, 203651, 4144, 3173, 5286, 
14, 15000, 1967327, 513477, 498422, 5985, 4635, 10405, 
15, 20000, 2888529, 732661, 812838, 8808, 6129, 18101, 
16, 25000, 4610388, 1125484, 1268551, 11911, 7675, 26544, 
